pl_name;Nombre_etoile;Nombre_planete;Méthode ;Orbite;Rayon;Masse terrienne;Eccentricité;Insolation;pl_eqt;Inclinaison;Température_etoile;Masse_etoile;Luminosité;Distance
Kepler-1162 c;1;2;Transit;59.28415710;1.790;;0.000000;7.19;418;89.950;5575.00;0.92;;940.2110000
Kepler-1163 b;1;1;Transit;6.11798200;0.970;;0.000000;;1143;84.800;6437.00;1.18;;478.6470000
Kepler-1163 b;1;1;Transit;6.11786898;0.880;;0.000000;413.90;1150;87.660;6444.00;1.11;;478.6470000
Kepler-1163 b;1;1;Transit;6.11789109;;;;;;;6263.03;1.22;0.396;478.6470000
Kepler-1163 b;1;1;Transit;6.11784972;1.050;;0.000000;509.24;1211;88.220;6226.00;1.14;;478.6470000
Kepler-1163 b;1;1;Transit;6.11786898;0.880;;0.000000;413.90;1150;87.660;6444.00;1.11;;478.6470000
Kepler-1163 b;1;1;Transit;;1.061;;;511.76;;;6208.00;;;478.6470000
Kepler-1163 b;1;1;Transit;6.11786898;0.880;;0.000000;413.90;1150;87.660;6444.00;1.11;;478.6470000
Kepler-1163 b;1;1;Transit;6.11786898;1.030;;;;;;6302.00;1.22;;478.6470000
Kepler-1163 b;1;1;Transit;6.11784972;;;;;;;6263.03;1.22;0.396;478.6470000
Kepler-1164 b;1;1;Transit;3.97600484;;;;;;;5197.00;0.88;-0.399;431.6220000
Kepler-1164 b;1;1;Transit;3.97599629;;;;;;;5197.00;0.88;-0.399;431.6220000
Kepler-1164 b;1;1;Transit;;1.089;;;181.21;;;5176.00;;;431.6220000
Kepler-1164 b;1;1;Transit;3.97599768;1.220;;0.000000;219.69;982;88.240;5211.00;0.80;;431.6220000
Kepler-1164 b;1;1;Transit;3.97603200;1.050;;0.000000;;957;88.810;5179.00;0.77;;431.6220000
Kepler-1164 b;1;1;Transit;3.97599629;1.110;;0.000000;181.47;936;88.570;5143.00;0.80;;431.6220000
Kepler-1164 b;1;1;Transit;3.97599768;1.120;;;;;;5183.00;0.85;;431.6220000
Kepler-1164 b;1;1;Transit;3.97599768;1.220;;0.000000;219.69;982;88.240;5211.00;0.80;;431.6220000
Kepler-1164 b;1;1;Transit;3.97599768;1.220;;0.000000;219.69;982;88.240;5211.00;0.80;;431.6220000
Kepler-1165 b;1;2;Transit;9.47852200;1.430;;0.000000;192.33;950;89.380;6224.00;1.09;;1575.2000000
Kepler-1165 b;1;2;Transit;;2.291;;;464.77;;;6255.00;;;1575.2000000
Kepler-1165 b;1;2;Transit;9.47829613;;;;;;;6019.00;1.11;0.552;1575.2000000
Kepler-1165 b;1;2;Transit;9.47876623;;;;;;;6019.00;1.11;0.552;1575.2000000
Kepler-1165 b;1;2;Transit;9.47852200;1.430;;0.000000;192.33;950;89.380;6224.00;1.09;;1575.2000000
Kepler-1165 b;1;2;Transit;9.47852200;1.550;;;;;;6080.00;1.13;;1575.2000000
Kepler-1165 b;1;2;Transit;9.47850818;;;;;;;6019.00;1.11;0.552;1575.2000000
Kepler-1165 b;1;2;Transit;9.47850818;1.470;;0.000000;189.14;946;89.460;6249.00;1.13;;1575.2000000
Kepler-1165 b;1;2;Transit;9.47852200;1.430;;0.000000;192.33;950;89.380;6224.00;1.09;;1575.2000000
Kepler-1165 c;1;2;Transit;29.96860520;2.000;;0.000000;41.47;647;89.950;6224.00;1.09;;1575.2000000
Kepler-1165 c;1;2;Transit;29.96870041;3.361;;;;;;6249.00;1.13;;1575.2000000
Kepler-1165 c;1;2;Transit;29.96862050;;;;;;;6019.00;1.11;0.552;1575.2000000
Kepler-1165 c;1;2;Transit;29.96860520;2.000;;0.000000;41.47;647;89.950;6224.00;1.09;;1575.2000000
Kepler-1165 c;1;2;Transit;29.96860520;2.000;;0.000000;41.47;647;89.950;6224.00;1.09;;1575.2000000
Kepler-1165 c;1;2;Transit;29.96859170;1.910;;0.000000;40.76;644;89.520;6249.00;1.13;;1575.2000000
Kepler-1165 c;1;2;Transit;29.96819000;2.020;;0.000000;;628;88.240;6225.00;1.11;;1575.2000000
Kepler-1165 c;1;2;Transit;29.96859170;;;;;;;6019.00;1.11;0.552;1575.2000000
Kepler-1166 b;1;1;Transit;33.24201000;2.200;;0.000000;;559;88.240;5560.00;0.85;;634.9060000
Kepler-1166 b;1;1;Transit;33.24068820;1.940;;0.000000;23.76;563;89.380;5605.00;0.90;;634.9060000
Kepler-1166 b;1;1;Transit;33.24044781;;;;;;;5392.42;0.94;-0.256;634.9060000
Kepler-1166 b;1;1;Transit;33.24079850;;;;;;;5392.42;0.94;-0.256;634.9060000
Kepler-1166 b;1;1;Transit;33.24068820;1.690;;;;;;5446.00;0.90;;634.9060000
Kepler-1166 b;1;1;Transit;33.24079850;1.510;;0.000000;13.17;486;89.750;5382.00;0.93;;634.9060000
Kepler-1166 b;1;1;Transit;33.24068820;1.940;;0.000000;23.76;563;89.380;5605.00;0.90;;634.9060000
Kepler-1166 b;1;1;Transit;33.24068820;1.940;;0.000000;23.76;563;89.380;5605.00;0.90;;634.9060000
Kepler-1166 b;1;1;Transit;33.24097603;;;;;;;5392.42;0.94;-0.256;634.9060000
Kepler-1166 b;1;1;Transit;;1.557;;;14.19;;;5388.00;;;634.9060000
Kepler-1167 b;1;1;Transit;1.00393374;1.700;;0.000000;962.58;1421;88.240;4949.00;0.71;;820.9050000
Kepler-1167 b;1;1;Transit;1.00393170;1.600;;0.000000;962.58;1419;89.760;4949.00;0.71;;820.9050000
Kepler-1167 b;1;1;Transit;1.00393374;1.710;;;;;;4971.00;0.79;;820.9050000
Kepler-1167 b;1;1;Transit;1.00393374;1.700;;0.000000;962.58;1421;88.240;4949.00;0.71;;820.9050000
Kepler-1167 b;1;1;Transit;;1.659;;;1039.70;;;4951.00;;;820.9050000
Kepler-1167 b;1;1;Transit;1.00393374;1.700;;0.000000;962.58;1421;88.240;4949.00;0.71;;820.9050000
Kepler-1167 b;1;1;Transit;1.00393600;;;;;;;4806.00;0.78;-0.536;820.9050000
Kepler-1167 b;1;1;Transit;1.00393170;;;;;;;4806.00;0.78;-0.536;820.9050000
Kepler-1167 b;1;1;Transit;1.00396500;2.070;;0.000000;;1429;73.910;4778.00;0.86;;820.9050000
Kepler-1168 b;1;1;Transit;55.82247750;2.130;;0.000000;4.85;379;89.980;5162.00;0.82;;752.6660000
Kepler-1168 b;1;1;Transit;55.82280000;2.200;;0.000000;;371;89.380;5159.00;0.81;;752.6660000
Kepler-1168 b;1;1;Transit;55.82265390;2.500;;;;;;5157.00;0.87;;752.6660000
Kepler-1168 b;1;1;Transit;55.82265390;2.210;;0.000000;4.89;379;89.950;5167.00;0.81;;752.6660000
Kepler-1168 b;1;1;Transit;;1.953;;;4.11;;;5165.00;;;752.6660000
Kepler-1168 b;1;1;Transit;55.82265390;2.210;;0.000000;4.89;379;89.950;5167.00;0.81;;752.6660000
Kepler-1168 b;1;1;Transit;55.82244220;;;;;;;4934.58;0.81;-0.530;752.6660000
Kepler-1168 b;1;1;Transit;55.82222394;;;;;;;4934.58;0.81;-0.530;752.6660000
Kepler-1168 b;1;1;Transit;55.82265390;2.210;;0.000000;4.89;379;89.950;5167.00;0.81;;752.6660000
Kepler-1168 b;1;1;Transit;55.82247750;;;;;;;4934.58;0.81;-0.530;752.6660000
Kepler-1169 b;1;1;Transit;6.11014294;;;;;;;5959.63;1.09;0.262;522.8230000
Kepler-1169 b;1;1;Transit;;0.944;;;348.05;;;6028.00;;;522.8230000
Kepler-1169 b;1;1;Transit;6.11009134;0.940;;;;;;6191.00;1.24;;522.8230000
Kepler-1169 b;1;1;Transit;6.11010439;;;;;;;5959.63;1.09;0.262;522.8230000
Kepler-1169 b;1;1;Transit;6.11012200;1.040;;0.000000;;1153;85.940;6162.00;1.08;;522.8230000
Kepler-1169 b;1;1;Transit;6.11010439;0.930;;0.000000;378.84;1125;89.160;6213.00;1.27;;522.8230000
Kepler-1169 b;1;1;Transit;6.11009134;0.990;;0.000000;376.57;1123;89.380;5971.00;1.13;;522.8230000
Kepler-1169 b;1;1;Transit;6.11009134;0.990;;0.000000;376.57;1123;89.380;5971.00;1.13;;522.8230000
Kepler-1169 b;1;1;Transit;6.11009134;0.990;;0.000000;376.57;1123;89.380;5971.00;1.13;;522.8230000
Kepler-117 b;1;2;Transit;50.79036400;;;;;;;6100.39;1.15;0.538;1455.5700000
Kepler-117 b;1;2;Transit;18.79592280;8.059;29.87500;0.049300;;984;88.740;6150.00;1.13;;1455.5700000
Kepler-117 b;1;2;Transit;18.79590048;6.040;;0.000000;100.91;808;88.810;6466.00;1.21;;1455.5700000
Kepler-117 b;1;2;Transit;18.79595200;7.810;;;;;;6169.00;;;1455.5700000
Kepler-117 b;1;2;Transit;18.79590900;5.740;;0.000000;;792;88.240;6438.00;1.18;;1455.5700000
Kepler-117 b;1;2;Transit;18.79593028;;;;;;;6100.39;1.15;0.538;1455.5700000
Kepler-117 b;1;2;Transit;18.79587256;;;;;;;6100.39;1.15;0.538;1455.5700000
Kepler-117 b;1;2;Transit;18.79591276;7.390;;0.000000;124.64;852;87.350;6163.00;1.10;;1455.5700000
Kepler-117 b;1;2;Transit;18.79591276;;;;;;;6100.39;1.15;0.538;1455.5700000
Kepler-117 b;1;2;Transit;18.79590048;6.040;;0.000000;100.91;808;88.810;6466.00;1.21;;1455.5700000
Kepler-117 b;1;2;Transit;18.79590048;6.040;;0.000000;100.91;808;88.810;6466.00;1.21;;1455.5700000
Kepler-117 b;1;2;Transit;18.79590048;6.650;;;;;;6170.00;1.15;;1455.5700000
Kepler-117 b;1;2;Transit;;8.504;;;157.54;;;6085.00;;;1455.5700000
Kepler-117 c;1;2;Transit;50.79034619;9.160;;0.000000;26.80;580;89.950;6466.00;1.21;;1455.5700000
Kepler-117 c;1;2;Transit;;12.209;;;41.86;;;6085.00;;;1455.5700000
Kepler-117 c;1;2;Transit;50.79056300;8.750;;0.000000;;568;89.380;6438.00;1.18;;1455.5700000
Kepler-117 c;1;2;Transit;50.79034648;;;;;;;6100.39;1.15;0.538;1455.5700000
Kepler-117 c;1;2;Transit;50.79034619;9.160;;0.000000;26.80;580;89.950;6466.00;1.21;;1455.5700000
Kepler-117 c;1;2;Transit;50.79034619;9.160;;0.000000;26.80;580;89.950;6466.00;1.21;;1455.5700000
Kepler-117 c;1;2;Transit;50.79034648;10.600;;0.000000;33.12;612;89.910;6163.00;1.10;;1455.5700000
Kepler-117 c;1;2;Transit;50.79039120;;;;;;;6100.39;1.15;0.538;1455.5700000
Kepler-117 c;1;2;Transit;50.79035891;;;;;;;6100.39;1.15;0.538;1455.5700000
Kepler-117 c;1;2;Transit;50.79034619;9.940;;;;;;6170.00;1.15;;1455.5700000
Kepler-117 c;1;2;Transit;50.79041200;11.300;;;;;;6169.00;;;1455.5700000
Kepler-117 c;1;2;Transit;50.79039100;12.341;584.78000;0.032300;;704;89.640;6150.00;1.13;;1455.5700000
Kepler-1170 b;1;1;Transit;9.98970266;;;;;;;5004.00;0.83;-0.338;1050.4500000
Kepler-1170 b;1;1;Transit;9.98970266;2.480;;0.000000;58.26;705;89.990;5265.00;0.91;;1050.4500000
Kepler-1170 b;1;1;Transit;;2.712;;;69.54;;;5262.00;;;1050.4500000
Kepler-1170 b;1;1;Transit;9.98969327;2.600;;0.000000;58.03;704;89.950;5256.00;0.91;;1050.4500000
Kepler-1170 b;1;1;Transit;9.98962569;;;;;;;5004.00;0.83;-0.338;1050.4500000
Kepler-1170 b;1;1;Transit;9.98965000;2.400;;0.000000;;646;87.660;5065.00;0.91;;1050.4500000
Kepler-1170 b;1;1;Transit;9.98969327;2.410;;;;;;5069.00;0.80;;1050.4500000
Kepler-1170 b;1;1;Transit;9.98973387;;;;;;;5004.00;0.83;-0.338;1050.4500000
Kepler-1170 b;1;1;Transit;9.98969327;2.600;;0.000000;58.03;704;89.950;5256.00;0.91;;1050.4500000
Kepler-1170 b;1;1;Transit;9.98969327;2.600;;0.000000;58.03;704;89.950;5256.00;0.91;;1050.4500000
Kepler-1171 b;1;1;Transit;;2.395;;;10171.00;;;7225.00;;;573.0000000
Kepler-1171 b;1;1;Transit;1.44259224;2.730;;0.000000;12557.23;2700;88.810;7216.00;1.46;;573.0000000
Kepler-1171 b;1;1;Transit;1.44259231;;;;;;;7014.00;1.54;0.869;573.0000000
Kepler-1171 b;1;1;Transit;1.44259224;2.730;;0.000000;12557.23;2700;88.810;7216.00;1.46;;573.0000000
Kepler-1171 b;1;1;Transit;1.44259231;2.670;;0.000000;12557.23;2700;86.820;7216.00;1.46;;573.0000000
Kepler-1171 b;1;1;Transit;1.44259224;2.730;;0.000000;12557.23;2700;88.810;7216.00;1.46;;573.0000000
Kepler-1171 b;1;1;Transit;1.44259194;;;;;;;7014.00;1.54;0.869;573.0000000
Kepler-1171 b;1;1;Transit;1.44259530;3.100;;0.000000;;2745;76.200;7222.00;1.65;;573.0000000
Kepler-1171 b;1;1;Transit;1.44259054;;;;;;;7014.00;1.54;0.869;573.0000000
Kepler-1171 b;1;1;Transit;1.44259224;2.560;;;;;;7044.00;1.58;;573.0000000
Kepler-1172 b;1;1;Transit;26.02033290;4.530;;0.000000;49.09;675;88.670;5624.00;0.93;;1306.5300000
Kepler-1172 b;1;1;Transit;;3.313;;;26.36;;;5626.00;;;1306.5300000
Kepler-1172 b;1;1;Transit;26.02044230;3.200;;;;;;5558.00;0.92;;1306.5300000
Kepler-1172 b;1;1;Transit;26.02044230;3.260;;0.000000;27.91;586;89.380;5806.00;1.00;;1306.5300000
Kepler-1172 b;1;1;Transit;26.02033290;;;;;;;5743.43;1.03;-0.161;1306.5300000
Kepler-1172 b;1;1;Transit;26.02044230;3.260;;0.000000;27.91;586;89.380;5806.00;1.00;;1306.5300000
Kepler-1172 b;1;1;Transit;26.02060000;2.400;;0.000000;;475;87.660;5571.00;0.98;;1306.5300000
Kepler-1172 b;1;1;Transit;26.02017992;;;;;;;5743.43;1.03;-0.161;1306.5300000
Kepler-1172 b;1;1;Transit;26.01879744;;;;;;;5743.43;1.03;-0.161;1306.5300000
Kepler-1172 b;1;1;Transit;26.02044230;3.260;;0.000000;27.91;586;89.380;5806.00;1.00;;1306.5300000
Kepler-1173 b;1;1;Transit;0.76985360;0.910;;0.000000;1724.44;1643;82.510;5178.00;0.88;;377.0600000
Kepler-1173 b;1;1;Transit;0.76985490;0.930;;0.000000;1756.80;1650;80.420;5173.00;0.87;;377.0600000
Kepler-1173 b;1;1;Transit;0.76985410;0.840;;0.000000;;1585;81.360;5088.00;0.75;;377.0600000
Kepler-1173 b;1;1;Transit;0.76985360;0.910;;0.000000;1724.44;1643;82.510;5178.00;0.88;;377.0600000
Kepler-1173 b;1;1;Transit;;0.879;;;1462.10;;;5076.00;;;377.0600000
Kepler-1173 b;1;1;Transit;0.76985446;;;;;;;5084.02;0.85;-0.435;377.0600000
Kepler-1173 b;1;1;Transit;0.76985360;0.910;;0.000000;1724.44;1643;82.510;5178.00;0.88;;377.0600000
Kepler-1173 b;1;1;Transit;0.76985360;0.890;;;;;;5252.00;0.86;;377.0600000
Kepler-1173 b;1;1;Transit;0.76985490;;;;;;;5084.02;0.85;-0.435;377.0600000
Kepler-1174 b;1;1;Transit;;2.614;;;641.81;;;5868.00;;;1408.7500000
Kepler-1174 b;1;1;Transit;6.89225000;1.430;;0.000000;;974;89.380;6059.00;1.05;;1408.7500000
Kepler-1174 b;1;1;Transit;6.89225223;1.590;;;;;;5936.00;1.04;;1408.7500000
Kepler-1174 b;1;1;Transit;6.89225223;1.400;;0.000000;202.71;962;89.950;6046.00;1.01;;1408.7500000
Kepler-1174 b;1;1;Transit;6.89223458;;;;;;;5939.00;1.08;0.555;1408.7500000
Kepler-1174 b;1;1;Transit;6.89225223;1.400;;0.000000;202.71;962;89.950;6046.00;1.01;;1408.7500000
Kepler-1174 b;1;1;Transit;6.89225223;1.400;;0.000000;202.71;962;89.950;6046.00;1.01;;1408.7500000
Kepler-1174 b;1;1;Transit;6.89226333;;;;;;;5939.00;1.08;0.555;1408.7500000
Kepler-1174 b;1;1;Transit;6.89226333;2.130;;0.000000;422.14;1156;89.840;5862.00;1.10;;1408.7500000
Kepler-1175 b;1;1;Transit;;2.453;;;12.94;;;5865.00;;;1121.8900000
Kepler-1175 b;1;1;Transit;37.94561380;2.790;;0.000000;16.61;515;89.790;5861.00;0.96;;1121.8900000
Kepler-1175 b;1;1;Transit;37.94563000;3.010;;0.000000;16.76;516;89.950;5870.00;0.96;;1121.8900000
Kepler-1175 b;1;1;Transit;37.94563000;3.010;;0.000000;16.76;516;89.950;5870.00;0.96;;1121.8900000
Kepler-1175 b;1;1;Transit;37.94563000;3.010;;0.000000;16.76;516;89.950;5870.00;0.96;;1121.8900000
Kepler-1175 b;1;1;Transit;37.94561380;;;;;;;5473.00;0.96;-0.340;1121.8900000
Kepler-1175 b;1;1;Transit;37.94523000;3.500;;0.000000;;520;88.240;5866.00;1.00;;1121.8900000
Kepler-1175 b;1;1;Transit;37.94563000;2.990;;;;;;5453.00;0.90;;1121.8900000
Kepler-1175 b;1;1;Transit;37.94584397;;;;;;;5473.00;0.96;-0.340;1121.8900000
Kepler-1175 b;1;1;Transit;37.94498797;;;;;;;5473.00;0.96;-0.340;1121.8900000
Kepler-1176 b;1;1;Transit;24.17385790;2.450;;;;;;5844.00;1.01;;864.6990000
Kepler-1176 b;1;1;Transit;24.17382440;;;;;;;5593.23;0.99;-0.117;864.6990000
Kepler-1176 b;1;1;Transit;24.17378515;;;;;;;5593.23;0.99;-0.117;864.6990000
Kepler-1176 b;1;1;Transit;;2.068;;;26.09;;;5467.00;;;864.6990000
Kepler-1176 b;1;1;Transit;24.17385790;1.900;;0.000000;21.94;552;89.950;5534.00;0.86;;864.6990000
Kepler-1176 b;1;1;Transit;24.17385790;1.900;;0.000000;21.94;552;89.950;5534.00;0.86;;864.6990000
Kepler-1176 b;1;1;Transit;24.17385790;1.900;;0.000000;21.94;552;89.950;5534.00;0.86;;864.6990000
Kepler-1176 b;1;1;Transit;24.17534000;1.850;;0.000000;;551;89.380;5540.00;0.91;;864.6990000
Kepler-1176 b;1;1;Transit;24.17382440;2.210;;0.000000;29.69;595;89.760;5468.00;0.91;;864.6990000
Kepler-1177 b;1;1;Transit;106.24754700;1.990;;0.000000;5.90;397;89.950;5968.00;0.99;;1299.9700000
Kepler-1177 b;1;1;Transit;106.24754700;1.900;;;;;;5712.00;0.98;;1299.9700000
Kepler-1177 b;1;1;Transit;106.25599960;;;;;;;5643.00;1.00;0.342;1299.9700000
Kepler-1177 b;1;1;Transit;;3.167;;;11.86;;;5674.00;;;1299.9700000
Kepler-1177 b;1;1;Transit;106.24788200;;;;;;;5643.00;1.00;0.342;1299.9700000
Kepler-1177 b;1;1;Transit;106.24827038;;;;;;;5643.00;1.00;0.342;1299.9700000
Kepler-1177 b;1;1;Transit;106.24900000;2.200;;0.000000;;397;89.380;5952.00;0.99;;1299.9700000
Kepler-1177 b;1;1;Transit;106.24754700;1.990;;0.000000;5.90;397;89.950;5968.00;0.99;;1299.9700000
Kepler-1177 b;1;1;Transit;106.24754700;1.990;;0.000000;5.90;397;89.950;5968.00;0.99;;1299.9700000
Kepler-1177 b;1;1;Transit;106.24788200;2.010;;0.000000;4.75;377;89.320;5679.00;0.94;;1299.9700000
Kepler-1178 b;1;1;Transit;31.80634000;1.070;;;;;;4990.00;0.80;;482.2870000
Kepler-1178 b;1;1;Transit;;1.379;;;23.24;;;4734.00;;;482.2870000
Kepler-1178 b;1;1;Transit;31.80634000;0.730;;0.000000;4.84;378;89.950;4729.00;0.53;;482.2870000
Kepler-1178 b;1;1;Transit;31.80634000;0.730;;0.000000;4.84;378;89.950;4729.00;0.53;;482.2870000
Kepler-1178 b;1;1;Transit;31.80551280;;;;;;;5084.79;0.85;-0.277;482.2870000
Kepler-1178 b;1;1;Transit;31.80634000;0.730;;0.000000;4.84;378;89.950;4729.00;0.53;;482.2870000
Kepler-1178 b;1;1;Transit;31.80873536;;;;;;;5084.79;0.85;-0.277;482.2870000
Kepler-1178 b;1;1;Transit;31.80551280;0.630;;0.000000;4.84;378;89.500;4729.00;0.53;;482.2870000
Kepler-1179 b;1;1;Transit;2.68505749;1.340;;0.000000;395.08;1137;89.380;5266.00;0.77;;415.2050000
Kepler-1179 b;1;1;Transit;2.68505445;1.460;;0.000000;395.08;1137;86.690;5266.00;0.77;;415.2050000
Kepler-1179 b;1;1;Transit;2.68505749;1.340;;0.000000;395.08;1137;89.380;5266.00;0.77;;415.2050000
Kepler-1179 b;1;1;Transit;2.68505800;1.260;;0.000000;;1129;88.810;5264.00;0.78;;415.2050000
Kepler-1179 b;1;1;Transit;;1.307;;;288.57;;;5133.00;;;415.2050000
Kepler-1179 b;1;1;Transit;2.68505749;1.320;;;;;;5212.00;0.84;;415.2050000
Kepler-1179 b;1;1;Transit;2.68505445;;;;;;;5207.00;0.89;-0.444;415.2050000
Kepler-1179 b;1;1;Transit;2.68505749;1.340;;0.000000;395.08;1137;89.380;5266.00;0.77;;415.2050000
Kepler-1179 b;1;1;Transit;2.68505683;;;;;;;5207.00;0.89;-0.444;415.2050000
Kepler-118 b;1;2;Transit;7.51854537;1.420;;0.000000;89.41;784;89.630;5064.00;0.81;;574.2280000
Kepler-118 b;1;2;Transit;7.51849479;1.410;;;;;;5234.00;0.85;;574.2280000
Kepler-118 b;1;2;Transit;7.51849600;1.960;;;;;;5274.00;;;574.2280000
Kepler-118 b;1;2;Transit;7.51866000;1.300;;0.000000;;775;89.950;5181.00;0.77;;574.2280000
Kepler-118 b;1;2;Transit;7.51842012;;;;;;;5109.00;0.86;-0.377;574.2280000
Kepler-118 b;1;2;Transit;7.51849479;1.670;;0.000000;129.65;861;89.380;5275.00;0.86;;574.2280000
Kepler-118 b;1;2;Transit;7.51849479;1.670;;0.000000;129.65;861;89.380;5275.00;0.86;;574.2280000
Kepler-118 b;1;2;Transit;7.51854537;;;;;;;5109.00;0.86;-0.377;574.2280000
Kepler-118 b;1;2;Transit;7.51849479;1.670;;0.000000;129.65;861;89.380;5275.00;0.86;;574.2280000
Kepler-118 b;1;2;Transit;;1.343;;;79.75;;;5057.00;;;574.2280000
Kepler-118 c;1;2;Transit;20.17202326;;;;;;;5109.00;0.86;-0.377;574.2280000
Kepler-118 c;1;2;Transit;20.17202773;;;;;;;5109.00;0.86;-0.377;574.2280000
Kepler-118 c;1;2;Transit;20.17202467;6.240;;0.000000;24.00;564;89.610;5064.00;0.81;;574.2280000
Kepler-118 c;1;2;Transit;20.17201100;6.100;;0.000000;;558;88.810;5181.00;0.77;;574.2280000
Kepler-118 c;1;2;Transit;;5.899;;;21.41;;;5057.00;;;574.2280000
Kepler-118 c;1;2;Transit;20.17202000;7.680;;;;;;5274.00;;;574.2280000
Kepler-118 c;1;2;Transit;20.17202387;7.190;;0.000000;34.80;619;89.950;5275.00;0.86;;574.2280000
Kepler-118 c;1;2;Transit;20.17202387;7.190;;0.000000;34.80;619;89.950;5275.00;0.86;;574.2280000
Kepler-118 c;1;2;Transit;20.17202467;;;;;;;5109.00;0.86;-0.377;574.2280000
Kepler-118 c;1;2;Transit;20.17202387;7.190;;0.000000;34.80;619;89.950;5275.00;0.86;;574.2280000
Kepler-118 c;1;2;Transit;20.17202387;5.940;;;;;;5234.00;0.85;;574.2280000
Kepler-1180 b;1;1;Transit;16.85983142;;;;;;;6163.00;1.17;0.417;1596.8000000
Kepler-1180 b;1;1;Transit;16.86012860;1.670;;0.000000;80.90;765;88.810;6205.00;0.91;;1596.8000000
Kepler-1180 b;1;1;Transit;16.86012860;1.990;;;;;;6077.00;1.09;;1596.8000000
Kepler-1180 b;1;1;Transit;;2.516;;;175.85;;;6206.00;;;1596.8000000
Kepler-1180 b;1;1;Transit;16.86012860;1.670;;0.000000;80.90;765;88.810;6205.00;0.91;;1596.8000000
Kepler-1180 b;1;1;Transit;16.85976251;;;;;;;6163.00;1.17;0.417;1596.8000000
Kepler-1180 b;1;1;Transit;16.86012860;1.670;;0.000000;80.90;765;88.810;6205.00;0.91;;1596.8000000
Kepler-1180 b;1;1;Transit;16.86008050;1.710;;0.000000;80.90;765;87.770;6205.00;0.91;;1596.8000000
Kepler-1180 b;1;1;Transit;16.85818000;1.770;;0.000000;;780;89.950;6264.00;1.12;;1596.8000000
Kepler-1180 b;1;1;Transit;16.86008050;;;;;;;6163.00;1.17;0.417;1596.8000000
Kepler-1181 b;1;2;Transit;4.89343316;;;;;;;6495.28;1.33;0.472;938.4170000
Kepler-1181 b;1;2;Transit;4.89348900;1.410;;0.000000;;1264;89.380;6333.00;1.24;;938.4170000
Kepler-1181 b;1;2;Transit;4.89337519;1.570;;0.000000;803.93;1358;89.380;6680.00;1.33;;938.4170000
Kepler-1181 b;1;2;Transit;4.89337519;1.570;;0.000000;803.93;1358;89.380;6680.00;1.33;;938.4170000
Kepler-1181 b;1;2;Transit;4.89332736;;;;;;;6495.28;1.33;0.472;938.4170000
Kepler-1181 b;1;2;Transit;;1.590;;;831.14;;;6689.00;;;938.4170000
Kepler-1181 b;1;2;Transit;4.89337519;1.570;;;;;;6176.00;1.17;;938.4170000
Kepler-1181 b;1;2;Transit;4.89336495;;;;;;;6495.28;1.33;0.472;938.4170000
Kepler-1181 b;1;2;Transit;4.89337519;1.570;;0.000000;803.93;1358;89.380;6680.00;1.33;;938.4170000
Kepler-1181 b;1;2;Transit;4.89336495;1.600;;0.000000;842.45;1374;88.820;6688.00;1.34;;938.4170000
Kepler-1181 c;1;2;Transit;8.93490982;1.744;;;;;;6688.00;1.34;;938.4170000
Kepler-1181 c;1;2;Transit;8.93490815;1.570;;0.000000;360.00;1111;89.380;6680.00;1.33;;938.4170000
Kepler-1181 c;1;2;Transit;8.93484887;;;;;;;6495.28;1.33;0.472;938.4170000
Kepler-1181 c;1;2;Transit;8.93484887;1.830;;0.000000;377.25;1124;86.050;6688.00;1.34;;938.4170000
Kepler-1181 c;1;2;Transit;8.93490815;1.570;;0.000000;360.00;1111;89.380;6680.00;1.33;;938.4170000
Kepler-1181 c;1;2;Transit;8.93490815;1.570;;0.000000;360.00;1111;89.380;6680.00;1.33;;938.4170000
Kepler-1182 b;1;1;Transit;11.17394617;2.410;;;;;;5924.00;1.04;;1545.3900000
Kepler-1182 b;1;1;Transit;11.17392077;1.640;;0.000000;94.84;796;89.940;5911.00;1.01;;1545.3900000
Kepler-1182 b;1;1;Transit;11.17394617;2.050;;0.000000;94.84;796;85.940;5911.00;1.01;;1545.3900000
Kepler-1182 b;1;1;Transit;11.17392077;;;;;;;5847.00;1.06;0.256;1545.3900000
Kepler-1182 b;1;1;Transit;11.17397251;;;;;;;5847.00;1.06;0.256;1545.3900000
Kepler-1182 b;1;1;Transit;11.17394617;2.050;;0.000000;94.84;796;85.940;5911.00;1.01;;1545.3900000
Kepler-1182 b;1;1;Transit;11.17394617;2.050;;0.000000;94.84;796;85.940;5911.00;1.01;;1545.3900000
Kepler-1182 b;1;1;Transit;;2.357;;;197.88;;;5924.00;;;1545.3900000
Kepler-1182 b;1;1;Transit;11.17360000;1.550;;0.000000;;790;87.660;5900.00;1.01;;1545.3900000
Kepler-1183 b;1;1;Transit;28.50572170;2.550;;0.000000;22.43;555;88.470;5712.00;0.94;;1919.1900000
Kepler-1183 b;1;1;Transit;28.50571890;2.820;;;;;;5765.00;1.00;;1919.1900000
Kepler-1183 b;1;1;Transit;;4.222;;;61.66;;;5710.00;;;1919.1900000
Kepler-1183 b;1;1;Transit;28.50571890;2.430;;0.000000;22.43;555;89.950;5712.00;0.94;;1919.1900000
Kepler-1183 b;1;1;Transit;28.50597485;;;;;;;5494.00;0.96;0.255;1919.1900000
Kepler-1183 b;1;1;Transit;28.50572170;;;;;;;5494.00;0.96;0.255;1919.1900000
