pl_name;Nombre_etoile;Nombre_planete;Méthode ;Orbite;Rayon;Masse terrienne;Eccentricité;Insolation;pl_eqt;Inclinaison;Température_etoile;Masse_etoile;Luminosité;Distance
47 UMa b;1;3;Radial Velocity;1076.60000000;;;0.016000;;;;5829.16;1.01;;13.7967000
47 UMa c;1;3;Radial Velocity;2391.00000000;;;0.098000;;;;5872.00;1.06;0.198;13.7967000
47 UMa c;1;3;Radial Velocity;7586.00000000;;;0.005000;;;;;;;13.7967000
47 UMa c;1;3;Radial Velocity;2287.00000000;;;0.179000;;;;5829.16;1.01;;13.7967000
47 UMa d;1;3;Radial Velocity;14002.00000000;;;0.160000;;;;5872.00;1.06;0.198;13.7967000
47 UMa d;1;3;Radial Velocity;19000.00000000;;;0.380000;;;;5829.16;1.01;;13.7967000
51 Eri b;3;1;Imaging;14965.00000000;;;0.210000;;;138.000;7295.00;1.65;0.752;29.7575000
51 Eri b;3;1;Imaging;11688.00000000;;;0.450000;;;133.000;7295.00;1.65;0.752;29.7575000
51 Eri b;3;1;Imaging;;;635.66000;;;700;;;1.75;0.850;29.7575000
51 Peg b;1;1;Radial Velocity;4.23077000;;;0.000000;;;;;;;15.4614000
51 Peg b;1;1;Radial Velocity;4.22930000;;;0.000000;;;;5773.00;;;15.4614000
51 Peg b;1;1;Radial Velocity;4.23079690;;;0.004200;;;;5760.76;1.07;;15.4614000
51 Peg b;1;1;Radial Velocity;4.23100000;;146.20180;0.000000;;;80.000;;1.04;;15.4614000
51 Peg b;1;1;Radial Velocity;4.23078500;;;0.013000;;;;5758.00;1.03;0.136;15.4614000
55 Cnc b;2;5;Radial Velocity;14.65162000;;;0.014000;;;;5250.00;0.90;-0.197;12.5855000
55 Cnc b;2;5;Radial Velocity;14.65126000;;;0.015900;;;;5250.00;0.90;-0.197;12.5855000
55 Cnc b;2;5;Radial Velocity;14.65300000;;;0.020000;;;;;0.95;;12.5855000
55 Cnc b;2;5;Radial Velocity;14.67000000;;;0.019700;;;;;0.95;;12.5855000
55 Cnc b;2;5;Radial Velocity;14.64700000;;;0.030000;;;;;;;12.5855000
55 Cnc b;2;5;Radial Velocity;14.65171000;;;0.004800;;;;5317.89;0.97;;12.5855000
55 Cnc b;2;5;Radial Velocity;14.46531400;;266.96600;0.002300;;;89.730;5250.00;0.90;-0.197;12.5855000
55 Cnc b;2;5;Radial Velocity;14.65160000;;;0.000000;;;;5172.00;0.91;;12.5855000
55 Cnc b;2;5;Radial Velocity;14.65152000;;263.97850;0.003400;;;90.000;;0.95;;12.5855000
55 Cnc b;2;5;Radial Velocity;14.64800000;;;0.051000;;;;5200.00;0.85;;12.5855000
55 Cnc b;2;5;Radial Velocity;14.60000000;;254.25000;0.000000;;700;;;;;12.5855000
55 Cnc b;2;5;Radial Velocity;14.65100000;;;0.004000;;;;5250.00;0.90;-0.197;12.5855000
55 Cnc c;2;5;Radial Velocity;44.39890000;;;0.030000;;;;5172.00;0.91;;12.5855000
55 Cnc c;2;5;Radial Velocity;44.37300000;;56.69850;0.072000;;;89.730;5250.00;0.90;-0.197;12.5855000
55 Cnc c;2;5;Radial Velocity;44.37870000;;;0.053000;;;;5250.00;0.90;-0.197;12.5855000
55 Cnc c;2;5;Radial Velocity;43.93000000;;;0.440000;;;;;0.95;;12.5855000
55 Cnc c;2;5;Radial Velocity;44.38270000;;;0.048000;;;;5317.89;0.97;;12.5855000
55 Cnc c;2;5;Radial Velocity;44.38000000;;;0.070000;;;;5250.00;0.90;-0.197;12.5855000
55 Cnc c;2;5;Radial Velocity;44.34460000;;;0.086000;;;;5250.00;0.90;-0.197;12.5855000
55 Cnc c;2;5;Radial Velocity;44.41750000;;54.47380;0.020000;;;90.000;;0.95;;12.5855000
55 Cnc d;2;5;Radial Velocity;4867.00000000;;1226.77000;0.026900;;;89.730;5250.00;0.90;-0.197;12.5855000
55 Cnc d;2;5;Radial Velocity;5370.00000000;;;0.063000;;;;5250.00;0.90;-0.197;12.5855000
55 Cnc d;2;5;Radial Velocity;4545.00000000;;;0.240000;;;;;;;12.5855000
55 Cnc d;2;5;Radial Velocity;4517.40000000;;;0.327000;;;;;0.95;;12.5855000
55 Cnc d;2;5;Radial Velocity;4825.00000000;;1232.49300;0.019000;;;90.000;;0.95;;12.5855000
55 Cnc d;2;5;Radial Velocity;5574.20000000;;;0.130000;;;;5172.00;0.91;;12.5855000
55 Cnc d;2;5;Radial Velocity;4820.00000000;;;0.139000;;;;5317.89;0.97;;12.5855000
55 Cnc d;2;5;Radial Velocity;5360.00000000;;;0.160000;;;;;0.95;;12.5855000
55 Cnc d;2;5;Radial Velocity;4909.00000000;;;0.020000;;;;5250.00;0.90;-0.197;12.5855000
55 Cnc d;2;5;Radial Velocity;5218.00000000;;;0.025000;;;;5250.00;0.90;-0.197;12.5855000
55 Cnc e;2;5;Radial Velocity;0.73654740;1.875;7.99000;0.050000;;;83.590;5172.00;0.91;;12.5855000
55 Cnc e;2;5;Radial Velocity;0.73654170;;;;;;85.400;;;;12.5855000
55 Cnc e;2;5;Radial Velocity;0.73654780;;8.09479;0.028000;;;90.360;5250.00;0.90;-0.197;12.5855000
55 Cnc e;2;5;Radial Velocity;0.73654582;1.915;;;2657.83;1831;;5250.00;;;12.5855000
55 Cnc e;2;5;Radial Velocity;0.73653900;1.910;8.08000;;;;83.300;5250.00;0.90;-0.197;12.5855000
55 Cnc e;2;5;Radial Velocity;0.73654604;;;;;;;;;;12.5855000
55 Cnc e;2;5;Radial Velocity;;;;;;;;5250.00;0.90;-0.197;12.5855000
55 Cnc e;2;5;Radial Velocity;0.73654370;2.080;7.81000;0.061000;;1958;87.300;5234.00;0.91;;12.5855000
55 Cnc e;2;5;Radial Velocity;0.73700000;1.897;7.74000;;;;;5172.00;0.87;;12.5855000
55 Cnc e;2;5;Radial Velocity;2.80800000;;;0.174000;;;;;0.95;;12.5855000
55 Cnc e;2;5;Radial Velocity;0.73655150;;8.13928;0.040000;;;90.000;;0.95;;12.5855000
55 Cnc e;2;5;Radial Velocity;0.73654600;2.173;8.37000;0.000000;;;;5250.00;0.90;-0.197;12.5855000
55 Cnc e;2;5;Radial Velocity;;1.920;8.08000;;;;83.000;5250.00;0.90;-0.197;12.5855000
55 Cnc e;2;5;Radial Velocity;2.79674000;;;0.264000;;;;5250.00;0.90;-0.197;12.5855000
55 Cnc e;2;5;Radial Velocity;0.73654740;1.947;8.59000;;;;;;1.01;;12.5855000
55 Cnc e;2;5;Radial Velocity;0.73654000;2.000;8.63000;;;;90.000;;0.96;;12.5855000
55 Cnc e;2;5;Radial Velocity;0.73654450;;;0.036000;;;;5317.89;0.97;;12.5855000
55 Cnc e;2;5;Radial Velocity;0.73654625;;;;;;83.600;5234.00;0.91;;12.5855000
55 Cnc f;2;5;Radial Velocity;259.88000000;;;0.080000;;;;5172.00;0.91;;12.5855000
55 Cnc f;2;5;Radial Velocity;260.91000000;;47.00510;0.080000;;;89.730;5250.00;0.90;-0.197;12.5855000
55 Cnc f;2;5;Radial Velocity;261.20000000;;;0.320000;;;;5250.00;0.90;-0.197;12.5855000
55 Cnc f;2;5;Radial Velocity;260.98000000;;;0.142000;;;;5317.89;0.97;;12.5855000
55 Cnc f;2;5;Radial Velocity;260.00000000;;;0.200000;;;;5250.00;0.90;-0.197;12.5855000
55 Cnc f;2;5;Radial Velocity;262.00000000;;44.81200;0.305000;;;90.000;;0.95;;12.5855000
55 Cnc f;2;5;Radial Velocity;260.70000000;;;0.000000;;;;5250.00;0.90;-0.197;12.5855000
6 Lyn b;1;1;Radial Velocity;899.00000000;;;0.134000;;;;4978.00;1.70;1.176;54.6599000
6 Lyn b;1;1;Radial Velocity;874.77400000;;;0.125000;;;;;1.82;;54.6599000
6 Lyn b;1;1;Radial Velocity;919.86000000;;;0.042000;;;;4941.00;1.32;1.119;54.6599000
6 Lyn b;1;1;Radial Velocity;934.30000000;;;0.073000;;;;4938.00;1.44;;54.6599000
61 Vir b;1;3;Radial Velocity;4.21487000;;;0.099000;;;;5585.57;0.91;;8.5033200
61 Vir b;1;3;Radial Velocity;4.21500000;;;0.120000;;;;5577.00;0.94;-0.095;8.5033200
61 Vir c;1;3;Radial Velocity;38.09570000;;;0.068000;;;;5585.57;0.91;;8.5033200
61 Vir c;1;3;Radial Velocity;38.02100000;;;0.140000;;;;5577.00;0.94;-0.095;8.5033200
61 Vir d;1;3;Radial Velocity;123.01000000;;;0.350000;;;;5577.00;0.94;-0.095;8.5033200
7 CMa b;1;2;Radial Velocity;;;;;;;;;1.44;1.121;19.8101000
7 CMa b;1;2;Radial Velocity;763.00000000;;;0.140000;;;;4792.00;1.52;1.053;19.8101000
7 CMa b;1;2;Radial Velocity;735.10000000;;;0.060000;;;90.000;4826.00;1.34;1.063;19.8101000
7 CMa b;1;2;Radial Velocity;796.00000000;;;0.220000;;;;4794.52;;;19.8101000
7 CMa c;1;2;Radial Velocity;996.00000000;;;0.080000;;;90.000;4826.00;1.34;1.063;19.8101000
7 CMa c;1;2;Radial Velocity;;;;;;;;;1.44;1.121;19.8101000
70 Vir b;1;1;Radial Velocity;116.68840000;;2380.45000;0.400700;;;;5545.00;1.11;;17.9011000
70 Vir b;1;1;Radial Velocity;116.68800000;;;0.398800;;;;5495.00;1.09;;17.9011000
70 Vir b;1;1;Radial Velocity;116.69260000;;;0.399000;;;;5439.00;1.09;0.451;17.9011000
70 Vir b;1;1;Radial Velocity;116.69335000;;;0.398900;;;;5481.86;1.06;;17.9011000
70 Vir b;1;1;Radial Velocity;116.68840000;;;0.400000;;;;5531.00;1.14;;17.9011000
70 Vir b;1;1;Radial Velocity;116.68900000;;;0.397000;;;;;;;17.9011000
75 Cet b;2;2;Radial Velocity;696.62000000;;;0.093000;;;;4809.00;1.92;1.714;82.9613000
75 Cet b;2;2;Radial Velocity;691.90000000;;;0.117000;;;;4846.00;2.49;1.730;82.9613000
75 Cet c;2;2;Radial Velocity;2051.62000000;;;0.023000;;;;4809.00;1.92;1.714;82.9613000
8 UMi b;1;1;Radial Velocity;93.40000000;;;0.060000;;;;4847.00;1.44;;162.5520000
8 UMi b;1;1;Radial Velocity;93.40000000;;;0.060000;;;;4847.40;1.80;;162.5520000
81 Cet b;1;1;Radial Velocity;952.70000000;;;0.206000;;;;4785.00;2.40;1.778;101.2600000
81 Cet b;1;1;Radial Velocity;;;;;;;;;1.60;;101.2600000
81 Cet b;1;1;Radial Velocity;1005.57000000;;;0.037000;;;;4734.00;1.23;1.760;101.2600000
91 Aqr b;3;1;Radial Velocity;181.40000000;;;0.027000;;;;4665.00;1.40;;44.0304000
AB Aur b;1;1;Imaging;;;2860.45566;0.400000;;;42.600;9770.00;2.40;1.771;162.1270000
AB Pic b;1;1;Imaging;;;4290.50000;;;;;;;;50.0475000
AF Lep b;1;1;Imaging;8030.00000000;;1017.05090;0.240000;;;50.000;6130.00;1.20;;26.8564000
